Movie_ID,title,year,rating,rating_count,genre,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Mystery,Talk-Show,War,Film-Noir,Game-Show,History,Horror,Music,Musical,Reality-TV,News,Romance,Sci-Fi,Sport,Thriller,Western
414,45 Years ,2015,7.1,29964,"Drama,Romance,10 September 2015 (Germany)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
415,Junior ,1994,4.6,63545,"Comedy,Romance,Sci-Fi,23 November 1994 (USA)
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
416,Wonder Boys ,2000,7.3,60250,"Comedy,Drama,25 February 2000 (USA)
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Shine ,1996,7.7,50231,"Biography,Drama,Music,14 February 1997 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
418,Lone Star ,1996,7.4,27337,"Drama,Mystery,21 June 1996 (USA)
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Whale Rider ,2002,7.5,38676,"Drama,Family,29 August 2003 (USA)
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,The Prince of Tides ,1991,6.7,15608,"Drama,Romance,25 December 1991 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
421,Anonymous ,2011,6.9,38802,"Drama,Thriller,10 November 2011 (Germany)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
422,Beyond the Lights ,2014,6.9,14810,"Drama,Music,Romance,14 November 2014 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
423,Mighty Aphrodite ,1995,7.0,37150,"Comedy,Fantasy,Romance,10 November 1995 (USA)
",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
424,Nixon ,1995,7.1,28073,"Biography,Drama,History,5 January 1996 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
425,102 Dalmatians ,2000,4.9,33816,"Adventure,Comedy,Family,22 November 2000 (USA)
",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Hustle & Flow ,2005,7.3,37977,"Crime,Drama,Music,22 July 2005 (USA)
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
427,Six Degrees of Separation ,1993,6.8,19287,"Comedy,Drama,Mystery,8 December 1993 (USA)
",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Evita ,1996,6.3,33267,"Biography,Drama,History,10 January 1997 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
429,Beloved ,1998,6.0,6941,"Drama,History,Horror,16 October 1998 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
430,Before Night Falls ,2000,7.2,23532,"Biography,Drama,Romance,23 February 2001 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
431,Henry & June ,1990,6.3,12076,"Biography,Drama,5 October 1990 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Toni Erdmann ,2016,7.4,42341,"Comedy,Drama,25 December 2016 (USA)
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,Marvin's Room ,1996,6.7,24867,"Drama,28 February 1997 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,Mandela: Long Walk to Freedom ,2013,7.1,25917,"Biography,Drama,History,25 December 2013 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
435,ParaNorman ,2012,7.0,91343,"Animation,Adventure,Comedy,17 August 2012 (USA)
",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,The Kite Runner ,2007,7.6,76304,"Drama,11 January 2008 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Secrets & Lies ,1996,8.0,35808,"Comedy,Drama,28 February 1997 (USA)
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,The Sweet Hereafter ,1997,7.5,31215,"Drama,21 November 1997 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Nobody's Fool ,1994,7.4,17908,"Comedy,Drama,13 January 1995 (USA)
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Bugsy ,1991,6.8,25274,"Biography,Crime,Drama,20 December 1991 (USA)
",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Beethoven's 2nd ,1993,4.9,25086,"Comedy,Family,Romance,17 December 1993 (USA)
",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
442,Victoria & Abdul ,2017,6.8,30156,"Biography,Drama,History,6 October 2017 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
443,Rachel Getting Married ,2008,6.7,46598,"Drama,Romance,2 April 2009 (Germany)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
444,Jimmy Neutron: Boy Genius ,2001,6.0,29849,"Animation,Action,Adventure,21 December 2001 (USA)
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,The Red Violin ,1998,7.6,31044,"Drama,Music,Mystery,11 June 1999 (USA)
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
446,In the Loop ,2009,7.4,53321,"Comedy,4 September 2009 (USA)
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,The Ghost and the Darkness ,1996,6.8,54974,"Adventure,Drama,Thriller,11 October 1996 (USA)
",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
448,Quiz Show ,1994,7.5,63129,"Biography,Drama,History,7 October 1994 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
449,Mirai ,2018,7.0,10927,"Animation,Adventure,Drama,30 May 2019 (Germany)
",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,Don Juan DeMarco ,1994,6.7,47103,"Comedy,Drama,Romance,7 April 1995 (USA)
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
451,Surf's Up ,2007,6.7,66885,"Animation,Comedy,Family,8 June 2007 (USA)
",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Mr. Holland's Opus ,1995,7.3,34708,"Drama,Music,19 January 1996 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
453,Young Guns II ,1990,6.5,30087,"Action,Western,1 August 1990 (USA)
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
454,The Salesman ,2016,7.8,47713,"Drama,Thriller,2 February 2017 (Germany)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
455,You Can Count on Me ,2000,7.5,27331,"Drama,22 December 2000 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,A Royal Affair ,2012,7.5,42925,"Biography,Drama,History,19 April 2012 (Germany)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
