title,year,rating,rating_count,genre
Being Julia ,2004,7.0,"11,846","Comedy,Drama,Romance,18 February 2005 (USA)
"
Pieces of April ,2003,7.0,"19,810","Comedy,Drama,28 November 2003 (USA)
"
Grand Canyon ,1991,6.9,"14,427","Crime,Drama,17 January 1992 (USA)
"
Vera Drake ,2004,7.6,"23,275","Crime,Drama,4 February 2005 (USA)
"
The Illusionist ,2010,7.5,"32,930","Animation,Drama,Family,11 February 2011 (USA)
"
Alice ,1990,6.6,"12,982","Comedy,Romance,28 February 1991 (Germany)
"
The Counterfeiters ,2007,7.6,"42,472","Crime,Drama,History,18 April 2008 (USA)
"
Ernest & Celestine ,2012,7.9,"17,577","Animation,Adventure,Comedy,28 February 2014 (USA)
"
The Apostle ,1997,7.2,"13,118","Drama,20 February 1998 (USA)
"
Enchanted April ,1991,7.3,"5,921","Drama,8 April 1993 (Germany)
"
Coco Before Chanel ,2009,6.7,"38,067","Biography,Drama,6 November 2009 (USA)
"
Maria Full of Grace ,2004,7.4,"33,534","Crime,Drama,6 August 2004 (USA)
"
Angels and Insects ,1995,6.8,"4,351","Drama,Romance,26 January 1996 (USA)
"
Mrs. Henderson Presents ,2005,7.0,"14,930","Comedy,Drama,Music,17 February 2006 (USA)
"
Away from Her ,2006,7.5,"21,038","Drama,25 May 2007 (USA)
"
As It Is in Heaven ,2004,7.5,"15,887","Comedy,Drama,Music,20 October 2005 (Germany)
"
Joyeux Noel ,2005,7.7,"26,964","Drama,History,Music,24 November 2005 (Germany)
"
Blue Sky ,1994,6.4,"6,618","Drama,Romance,16 September 1994 (USA)
"
Up Close & Personal ,1996,6.2,"13,204","Drama,Romance,1 March 1996 (USA)
"
Venus ,2006,7.1,"12,212","Comedy,Drama,Romance,16 February 2007 (USA)
"
The Contender ,2000,6.9,"22,336","Drama,Thriller,13 October 2000 (USA)
"
Another Year ,2010,7.3,"27,197","Comedy,Drama,4 February 2011 (USA)
"
The Quiet American ,2002,7.0,"26,806","Drama,Romance,Thriller,7 March 2003 (USA)
"
Junebug ,2005,6.9,"21,886","Comedy,Drama,16 September 2005 (USA)
"
Iris ,2001,7.0,"16,877","Biography,Drama,Romance,29 March 2002 (USA)
"
Sweet and Lowdown ,1999,7.2,"31,550","Comedy,Drama,Music,10 March 2000 (USA)
"
Reversal of Fortune ,1990,7.2,"14,114","Biography,Drama,Mystery,9 November 1990 (USA)
"
Hoffa ,1992,6.6,"20,853","Biography,Crime,Drama,25 December 1992 (USA)
"
Bulworth ,1998,6.8,"24,284","Comedy,Drama,Romance,22 May 1998 (USA)
"
In a Better World ,2010,7.6,"37,738","Drama,Romance,17 March 2011 (Germany)
"
Angela's Ashes ,1999,7.3,"19,746","Drama,21 January 2000 (USA)
"
The Grifters ,1990,6.9,"24,616","Crime,Drama,Thriller,25 January 1991 (USA)
"
The Cooler ,2003,6.9,"31,966","Drama,Romance,16 January 2004 (USA)
"
Dirty Pretty Things ,2002,7.3,"39,913","Crime,Drama,Thriller,5 September 2003 (USA)
"
Mrs. Brown ,1997,7.2,"13,102","Biography,Drama,History,3 October 1997 (USA)
"
Hamlet ,1990,6.7,"20,871","Drama,18 January 1991 (USA)
"
Transamerica ,2005,7.4,"39,830","Adventure,Comedy,Drama,3 March 2006 (USA)
"
Green Card ,1990,6.2,"21,921","Comedy,Drama,Romance,1 February 1991 (USA)
"
Lorenzo's Oil ,1992,7.3,"19,991","Drama,29 January 1993 (USA)
"
The Portrait of a Lady ,1996,6.2,"10,559","Drama,Romance,17 January 1997 (USA)
"
Mr. Turner ,2014,6.8,"23,778","Biography,Drama,History,6 November 2014 (Germany)
"
The Messenger ,2009,7.1,"33,383","Drama,Romance,War,4 December 2009 (USA)
"
Bullets Over Broadway ,1994,7.4,"34,559","Comedy,Crime,24 February 1995 (USA)
"
Persepolis ,2007,8.0,"86,323","Animation,Biography,Drama,22 February 2008 (USA)
"
Babe: Pig in the City ,1998,5.7,"30,908","Adventure,Comedy,Drama,25 November 1998 (USA)
"
Albert Nobbs ,2011,6.7,"22,989","Drama,Romance,26 September 2013 (Germany)
"
After the Wedding ,2006,7.7,"30,967","Drama,11 May 2007 (USA)
"
Richard III ,1995,7.4,"13,476","Drama,Sci-Fi,War,29 December 1995 (USA)
"
The 100 Year-Old Man Who Climbed Out the Window and Disappeared ,2013,7.1,"37,368","Adventure,Comedy,8 May 2015 (USA)
"
Titus ,1999,7.1,"19,347","Drama,History,Thriller,11 February 2000 (USA)
"
Shadowlands ,1993,7.3,"16,570","Biography,Drama,Romance,14 January 1994 (USA)
"
Bright Star ,2009,6.9,"24,838","Biography,Drama,Romance,9 October 2009 (USA)
"
Pollock ,2000,7.0,"26,391","Biography,Drama,23 March 2001 (USA)
"
Rabbit Hole ,2010,7.0,"46,508","Drama,28 January 2011 (USA)
"
The Broken Circle Breakdown ,2012,7.8,"38,339","Drama,Music,Romance,25 April 2013 (Germany)
"
Quest for Camelot ,1998,6.3,"14,323","Animation,Adventure,Comedy,15 May 1998 (USA)
"
45 Years ,2015,7.1,"29,964","Drama,Romance,10 September 2015 (Germany)
"
Junior ,1994,4.6,"63,545","Comedy,Romance,Sci-Fi,23 November 1994 (USA)
"
Wonder Boys ,2000,7.3,"60,250","Comedy,Drama,25 February 2000 (USA)
"
Shine ,1996,7.7,"50,231","Biography,Drama,Music,14 February 1997 (USA)
"
Lone Star ,1996,7.4,"27,337","Drama,Mystery,21 June 1996 (USA)
"
Whale Rider ,2002,7.5,"38,676","Drama,Family,29 August 2003 (USA)
"
The Prince of Tides ,1991,6.7,"15,608","Drama,Romance,25 December 1991 (USA)
"
Anonymous ,2011,6.9,"38,802","Drama,Thriller,10 November 2011 (Germany)
"
Beyond the Lights ,2014,6.9,"14,810","Drama,Music,Romance,14 November 2014 (USA)
"
Mighty Aphrodite ,1995,7.0,"37,150","Comedy,Fantasy,Romance,10 November 1995 (USA)
"
Nixon ,1995,7.1,"28,073","Biography,Drama,History,5 January 1996 (USA)
"
102 Dalmatians ,2000,4.9,"33,816","Adventure,Comedy,Family,22 November 2000 (USA)
"
Hustle & Flow ,2005,7.3,"37,977","Crime,Drama,Music,22 July 2005 (USA)
"
Six Degrees of Separation ,1993,6.8,"19,287","Comedy,Drama,Mystery,8 December 1993 (USA)
"
Evita ,1996,6.3,"33,267","Biography,Drama,History,10 January 1997 (USA)
"
Beloved ,1998,6.0,"6,941","Drama,History,Horror,16 October 1998 (USA)
"
Before Night Falls ,2000,7.2,"23,532","Biography,Drama,Romance,23 February 2001 (USA)
"
Henry & June ,1990,6.3,"12,076","Biography,Drama,5 October 1990 (USA)
"
Toni Erdmann ,2016,7.4,"42,341","Comedy,Drama,25 December 2016 (USA)
"
Marvin's Room ,1996,6.7,"24,867","Drama,28 February 1997 (USA)
"
Mandela: Long Walk to Freedom ,2013,7.1,"25,917","Biography,Drama,History,25 December 2013 (USA)
"
ParaNorman ,2012,7.0,"91,343","Animation,Adventure,Comedy,17 August 2012 (USA)
"
The Kite Runner ,2007,7.6,"76,304","Drama,11 January 2008 (USA)
"
Secrets & Lies ,1996,8.0,"35,808","Comedy,Drama,28 February 1997 (USA)
"
The Sweet Hereafter ,1997,7.5,"31,215","Drama,21 November 1997 (USA)
"
Nobody's Fool ,1994,7.4,"17,908","Comedy,Drama,13 January 1995 (USA)
"
Bugsy ,1991,6.8,"25,274","Biography,Crime,Drama,20 December 1991 (USA)
"
Beethoven's 2nd ,1993,4.9,"25,086","Comedy,Family,Romance,17 December 1993 (USA)
"
Victoria & Abdul ,2017,6.8,"30,156","Biography,Drama,History,6 October 2017 (USA)
"
Rachel Getting Married ,2008,6.7,"46,598","Drama,Romance,2 April 2009 (Germany)
"
Jimmy Neutron: Boy Genius ,2001,6.0,"29,849","Animation,Action,Adventure,21 December 2001 (USA)
"
The Red Violin ,1998,7.6,"31,044","Drama,Music,Mystery,11 June 1999 (USA)
"
In the Loop ,2009,7.4,"53,321","Comedy,4 September 2009 (USA)
"
The Ghost and the Darkness ,1996,6.8,"54,974","Adventure,Drama,Thriller,11 October 1996 (USA)
"
Quiz Show ,1994,7.5,"63,129","Biography,Drama,History,7 October 1994 (USA)
"
Mirai ,2018,7.0,"10,927","Animation,Adventure,Drama,30 May 2019 (Germany)
"
Don Juan DeMarco ,1994,6.7,"47,103","Comedy,Drama,Romance,7 April 1995 (USA)
"
Surf's Up ,2007,6.7,"66,885","Animation,Comedy,Family,8 June 2007 (USA)
"
Mr. Holland's Opus ,1995,7.3,"34,708","Drama,Music,19 January 1996 (USA)
"
Young Guns II ,1990,6.5,"30,087","Action,Western,1 August 1990 (USA)
"
The Salesman ,2016,7.8,"47,713","Drama,Thriller,2 February 2017 (Germany)
"
You Can Count on Me ,2000,7.5,"27,331","Drama,22 December 2000 (USA)
"
A Royal Affair ,2012,7.5,"42,925","Biography,Drama,History,19 April 2012 (Germany)
"
Philomena ,2013,7.6,"92,131","Biography,Comedy,Drama,27 November 2013 (USA)
"
A Simple Plan ,1998,7.5,"61,487","Crime,Drama,Thriller,22 January 1999 (USA)
"
In & Out ,1997,6.4,"37,692","Comedy,Romance,19 September 1997 (USA)
"
Puss in Boots ,2011,6.6,"140,470","Animation,Adventure,Comedy,28 October 2011 (USA)
"
About Schmidt ,2002,7.1,"120,609","Comedy,Drama,3 January 2003 (USA)
"
Poetic Justice ,1993,6.1,"12,218","Drama,Romance,23 July 1993 (USA)
"
Kate & Leopold ,2001,6.4,"77,341","Comedy,Fantasy,Romance,25 December 2001 (USA)
"
Flatliners ,1990,6.6,"77,943","Drama,Horror,Sci-Fi,10 August 1990 (USA)
"
Crazy Heart ,2009,7.2,"82,391","Drama,Music,Romance,5 February 2010 (USA)
"
Seabiscuit ,2003,7.3,"65,086","Drama,History,Sport,25 July 2003 (USA)
"
Wag the Dog ,1997,7.2,"77,206","Comedy,Drama,9 January 1998 (USA)
"
A Mighty Wind ,2003,7.2,"25,183","Comedy,Music,9 May 2003 (USA)
"
The People vs. Larry Flynt ,1996,7.3,"85,934","Biography,Drama,10 January 1997 (USA)
"
House of Sand and Fog ,2003,7.5,"63,931","Crime,Drama,9 January 2004 (USA)
"
What's Love Got to Do with It ,1993,7.3,"16,416","Biography,Drama,Music,25 June 1993 (USA)
"
The Sessions ,2012,7.2,"40,695","Biography,Comedy,Drama,16 November 2012 (USA)
"
Gods and Monsters ,1998,7.4,"28,609","Biography,Drama,4 November 1998 (USA)
"
Quills ,2000,7.3,"50,630","Biography,Drama,25 December 2000 (USA)
"
Extremely Loud & Incredibly Close ,2011,6.9,"96,095","Adventure,Drama,Mystery,20 January 2012 (USA)
"
Nell ,1994,6.5,"26,662","Drama,23 December 1994 (USA)
"
Girl with a Pearl Earring ,2003,6.9,"70,749","Biography,Drama,Romance,30 January 2004 (USA)
"
Still Alice ,2014,7.5,"123,408","Drama,20 February 2015 (USA)
"
The Commitments ,1991,7.6,"31,274","Comedy,Drama,Music,13 September 1991 (USA)
"
Rob Roy ,1995,6.9,"39,740","Adventure,Biography,Drama,14 April 1995 (USA)
"
Short Cuts ,1993,7.7,"41,277","Comedy,Drama,6 January 1994 (Germany)
"
Damage ,1992,6.8,"15,811","Drama,Romance,22 January 1993 (USA)
"
Beginners ,2010,7.2,"86,287","Comedy,Drama,Romance,9 June 2011 (Germany)
"
An Education ,2009,7.3,"126,202","Drama,5 February 2010 (USA)
"
The Polar Express ,2004,6.6,"166,690","Animation,Adventure,Comedy,10 November 2004 (USA)
"
Amour ,2012,7.9,"90,312","Drama,Romance,20 September 2012 (Germany)
"
The First Wives Club ,1996,6.4,"41,660","Comedy,20 September 1996 (USA)
"
All Is Lost ,2013,6.9,"74,291","Action,Adventure,Drama,9 January 2014 (Germany)
"
The Nutty Professor ,1996,5.6,"107,157","Comedy,Romance,Sci-Fi,28 June 1996 (USA)
"
The Full Monty ,1997,7.2,"96,669","Comedy,Drama,19 September 1997 (USA)
"
Hamlet ,1996,7.7,"35,334","Drama,25 December 1996 (USA)
"
Dead Man Walking ,1995,7.5,"86,418","Crime,Drama,2 February 1996 (USA)
"
Monster House ,2006,6.6,"96,458","Animation,Adventure,Comedy,21 July 2006 (USA)
"
Chaplin ,1992,7.6,"51,958","Biography,Comedy,Drama,8 January 1993 (USA)
"
The Cider House Rules ,1999,7.4,"91,229","Drama,Romance,7 January 2000 (USA)
"
Anomalisa ,2015,7.3,"62,760","Animation,Comedy,Drama,21 January 2016 (Germany)
"
Loving Vincent ,2017,7.8,"47,182","Animation,Biography,Crime,22 September 2017 (USA)
"
The Hurricane ,1999,7.6,"89,535","Biography,Drama,Sport,14 January 2000 (USA)
"
The Book Thief ,2013,7.6,"124,420","Drama,War,27 November 2013 (USA)
"
Anna and the King ,1999,6.7,"35,117","Drama,History,Romance,17 December 1999 (USA)
"
The Ides of March ,2011,7.1,"211,701","Drama,Thriller,7 October 2011 (USA)
"
Frida ,2002,7.4,"78,662","Biography,Drama,Romance,22 November 2002 (USA)
"
Lars and the Real Girl ,2007,7.3,"135,697","Comedy,Drama,Romance,2 November 2007 (USA)
"
Mary Shelley's Frankenstein ,1994,6.4,"49,907","Drama,Horror,Romance,4 November 1994 (USA)
"
Letters from Iwo Jima ,2006,7.9,"151,219","Action,Adventure,Drama,2 February 2007 (USA)
"
Breakthrough ,2019,6.2,"7,432","Biography,Drama,17 April 2019 (USA)
"
20th Century Women ,2016,7.3,"37,592","Comedy,Drama,20 January 2017 (USA)
"
Awakenings ,1990,7.8,"119,283","Biography,Drama,11 January 1991 (USA)
"
The Remains of the Day ,1993,7.8,"63,161","Drama,Romance,19 November 1993 (USA)
"
A Little Princess ,1995,7.7,"31,138","Drama,Family,Fantasy,19 May 1995 (USA)
"
The Constant Gardener ,2005,7.4,"129,685","Drama,Mystery,Romance,31 August 2005 (USA)
"
The Player ,1992,7.5,"52,671","Comedy,Crime,Drama,8 May 1992 (USA)
"
The Squid and the Whale ,2005,7.3,"75,406","Comedy,Drama,16 December 2005 (USA)
"
The Boxtrolls ,2014,6.8,"53,129","Animation,Adventure,Comedy,26 September 2014 (USA)
"
Dave ,1993,6.8,"47,719","Comedy,Romance,7 May 1993 (USA)
"
The Last King of Scotland ,2006,7.7,"171,750","Biography,Drama,History,19 January 2007 (USA)
"
Jackie ,2016,6.7,"70,741","Biography,Drama,History,2 December 2016 (USA)
"
Hellboy II: The Golden Army ,2008,7.0,"251,195","Action,Adventure,Fantasy,11 July 2008 (USA)
"
Australia ,2008,6.6,"117,352","Adventure,Comedy,Drama,26 November 2008 (USA)
"
21 Grams ,2003,7.7,"220,127","Crime,Drama,Thriller,16 January 2004 (USA)
"
The New World ,2005,6.7,"81,364","Biography,Drama,History,20 January 2006 (USA)
"
Animal Kingdom ,2010,7.3,"53,593","Crime,Drama,3 June 2010 (Australia)
"
Jane Eyre ,2011,7.3,"78,854","Drama,Romance,22 April 2011 (USA)
"
Dancer in the Dark ,2000,8.0,"99,192","Crime,Drama,Musical,6 October 2000 (USA)
"
The Black Dahlia ,2006,5.6,"70,320","Crime,Drama,Mystery,15 September 2006 (USA)
"
Corpus Christi ,2019,7.6,"7,377","Drama,28 February 2020 (USA)
"
Out of Sight ,1998,7.0,"82,917","Comedy,Crime,Drama,26 June 1998 (USA)
"
Milk ,2008,7.5,"161,453","Biography,Drama,30 January 2009 (USA)
"
Across the Universe ,2007,7.3,"104,549","Drama,Fantasy,History,12 October 2007 (USA)
"
Space Cowboys ,2000,6.4,"71,835","Action,Adventure,Thriller,4 August 2000 (USA)
"
Capote ,2005,7.3,"122,386","Biography,Crime,Drama,3 February 2006 (USA)
"
At Eternity's Gate ,2018,6.9,"25,213","Biography,Drama,18 April 2019 (Germany)
"
Star Trek VI: The Undiscovered Country ,1991,7.2,"68,335","Action,Adventure,Sci-Fi,6 December 1991 (USA)
"
Heavenly Creatures ,1994,7.3,"57,785","Biography,Crime,Drama,12 January 1995 (Germany)
"
Life ,1999,6.8,"44,307","Comedy,Crime,Drama,16 April 1999 (USA)
"
What Dreams May Come ,1998,7.1,"100,079","Drama,Fantasy,Romance,2 October 1998 (USA)
"
The American President ,1995,6.8,"50,303","Comedy,Drama,Romance,17 November 1995 (USA)
"
Hotel Rwanda ,2004,8.1,"326,918","Biography,Drama,History,4 February 2005 (USA)
"
Memoirs of a Geisha ,2005,7.4,"135,707","Drama,Romance,23 December 2005 (USA)
"
The Muppets ,2011,7.1,"85,552","Adventure,Comedy,Family,23 November 2011 (USA)
"
Elizabeth: The Golden Age ,2007,6.8,"65,353","Biography,Drama,History,12 October 2007 (USA)
"
DragonHeart ,1996,6.5,"89,484","Action,Adventure,Fantasy,31 May 1996 (USA)
"
Julie & Julia ,2009,7.0,"103,682","Biography,Drama,Romance,7 August 2009 (USA)
"
Patch Adams ,1998,6.8,"100,773","Biography,Comedy,Drama,25 December 1998 (USA)
"
How to Train Your Dragon 2 ,2014,7.8,"295,965","Animation,Action,Adventure,13 June 2014 (USA)
"
Glengarry Glen Ross ,1992,7.7,"92,936","Crime,Drama,Mystery,2 October 1992 (USA)
"
The Croods ,2013,7.2,"185,249","Animation,Action,Adventure,22 March 2013 (USA)
"
Ferdinand ,2017,6.7,"45,620","Animation,Adventure,Comedy,15 December 2017 (USA)
"
August: Osage County ,2013,7.2,"82,696","Comedy,Drama,10 January 2014 (USA)
"
Precious ,2009,7.3,"103,549","Drama,20 November 2009 (USA)
"
Stuart Little ,1999,5.9,"122,355","Adventure,Comedy,Family,17 December 1999 (USA)
"
Sexy Beast ,2000,7.3,"53,346","Crime,Drama,Thriller,13 July 2001 (USA)
"
Shark Tale ,2004,6.0,"162,650","Animation,Adventure,Comedy,1 October 2004 (USA)
"
Cinderella Man ,2005,8.0,"172,470","Biography,Drama,History,3 June 2005 (USA)
"
Election ,1999,7.2,"87,222","Comedy,Drama,Romance,7 May 1999 (USA)
"
Something's Gotta Give ,2003,6.7,"109,076","Comedy,Drama,Romance,12 December 2003 (USA)
"
The Insider ,1999,7.8,"155,915","Biography,Drama,Thriller,5 November 1999 (USA)
"
The Bridges of Madison County ,1995,7.6,"70,260","Drama,Romance,2 June 1995 (USA)
"
I Am Sam ,2001,7.7,"140,401","Drama,25 January 2002 (USA)
"
Days of Thunder ,1990,6.0,"76,375","Action,Drama,Sport,27 June 1990 (USA)
"
Shakespeare in Love ,1998,7.1,"209,638","Comedy,Drama,History,8 January 1999 (USA)
"
The Prince of Egypt ,1998,7.1,"114,694","Animation,Adventure,Drama,18 December 1998 (USA)
"
My Best Friend's Wedding ,1997,6.3,"124,710","Comedy,Drama,Romance,20 June 1997 (USA)
"
War Horse ,2011,7.2,"143,114","Action,Adventure,Drama,25 December 2011 (USA)
"
Missing Link ,2019,6.7,"19,124","Animation,Adventure,Comedy,12 April 2019 (USA)
"
The Wind Rises ,2013,7.8,"68,485","Animation,Biography,Drama,21 February 2014 (USA)
"
Corpse Bride ,2005,7.3,"235,430","Animation,Drama,Family,23 September 2005 (USA)
"
Emma ,1996,6.6,"34,899","Comedy,Drama,Romance,30 August 1996 (USA)
"
Ghost World ,2001,7.3,"110,941","Comedy,Drama,21 September 2001 (USA)
"
Border ,2018,7.0,"21,534","Crime,Drama,Fantasy,26 October 2018 (USA)
"
The Piano ,1993,7.6,"76,758","Drama,Music,Romance,11 February 1994 (USA)
"
Dreamgirls ,2006,6.5,"67,068","Drama,Music,Musical,25 December 2006 (USA)
"
The Duchess ,2008,6.9,"76,365","Biography,Drama,History,10 October 2008 (USA)
"
The Lego Movie ,2014,7.7,"317,440","Animation,Action,Adventure,7 February 2014 (USA)
"
Sideways ,2004,7.5,"175,868","Comedy,Drama,Romance,21 January 2005 (USA)
"
Rise of the Planet of the Apes ,2011,7.6,"488,189","Action,Drama,Sci-Fi,5 August 2011 (USA)
"
The Adventures of Tintin ,2011,7.3,"211,733","Animation,Action,Adventure,21 December 2011 (USA)
"
The Firm ,1993,6.8,"113,159","Drama,Mystery,Thriller,30 June 1993 (USA)
"
The Illusionist ,2006,7.6,"348,716","Drama,Fantasy,History,1 September 2006 (USA)
"
Little Children ,2006,7.5,"103,243","Comedy,Drama,Romance,9 February 2007 (USA)
"
Margin Call ,2011,7.1,"112,869","Drama,Thriller,29 September 2011 (Germany)
"
Unstoppable ,2010,6.8,"180,447","Action,Thriller,12 November 2010 (USA)
"
Before Sunset ,2004,8.0,"225,410","Drama,Romance,30 July 2004 (USA)
"
JFK ,1991,8.0,"137,140","Drama,History,Thriller,20 December 1991 (USA)
"
The Lone Ranger ,2013,6.4,"216,752","Action,Adventure,Western,3 July 2013 (USA)
"
Marie Antoinette ,2006,6.4,"97,684","Biography,Drama,History,20 October 2006 (USA)
"
Boys Don't Cry ,1999,7.5,"90,401","Biography,Crime,Drama,31 March 2000 (USA)
"
Clear and Present Danger ,1994,6.9,"86,633","Action,Crime,Drama,3 August 1994 (USA)
"
The Bodyguard ,1992,6.3,"115,083","Action,Drama,Music,25 November 1992 (USA)
"
Christopher Robin ,2018,7.3,"64,624","Comedy,Drama,Family,3 August 2018 (USA)
"
Adaptation. ,2002,7.7,"172,391","Comedy,Drama,14 February 2003 (USA)
"
Klaus ,2019,8.2,"70,802","Animation,Adventure,Comedy,15 November 2019 (USA)
"
Fences ,2016,7.2,"94,216","Drama,25 December 2016 (USA)
"
Before Midnight ,2013,7.9,"134,290","Drama,Romance,14 June 2013 (USA)
"
Ice Age ,2002,7.5,"428,006","Animation,Adventure,Comedy,15 March 2002 (USA)
"
Pleasantville ,1998,7.5,"118,826","Comedy,Drama,Fantasy,23 October 1998 (USA)
"
In the Line of Fire ,1993,7.2,"89,574","Action,Crime,Drama,9 July 1993 (USA)
"
City Slickers ,1991,6.7,"46,641","Comedy,Western,7 June 1991 (USA)
"
The Golden Compass ,2007,6.1,"175,740","Adventure,Family,Fantasy,7 December 2007 (USA)
"
Master and Commander: The Far Side of the World ,2003,7.4,"196,660","Action,Adventure,Drama,14 November 2003 (USA)
"
The Perfect Storm ,2000,6.4,"152,693","Action,Adventure,Drama,30 June 2000 (USA)
"
Geronimo: An American Legend ,1993,6.5,"8,659","Drama,History,Western,10 December 1993 (USA)
"
"Roman J. Israel, Esq. ",2017,6.5,"29,725","Crime,Drama,Thriller,22 November 2017 (USA)
"
The Imaginarium of Doctor Parnassus ,2009,6.8,"142,285","Adventure,Comedy,Fantasy,8 January 2010 (USA)
"
Snow White and the Huntsman ,2012,6.1,"267,486","Action,Adventure,Drama,1 June 2012 (USA)
"
Wild ,2014,7.1,"116,471","Biography,Drama,19 December 2014 (USA)
"
Charlie Wilson's War ,2007,7.0,"107,609","Biography,Comedy,Drama,21 December 2007 (USA)
"
Wyatt Earp ,1994,6.7,"44,172","Adventure,Biography,Crime,24 June 1994 (USA)
"
Elizabeth ,1998,7.4,"90,456","Biography,Drama,History,19 February 1999 (USA)
"
Chocolat ,2000,7.2,"174,346","Drama,Romance,19 January 2001 (USA)
"
Foxcatcher ,2014,7.0,"131,451","Biography,Drama,Sport,16 January 2015 (USA)
"
127 Hours ,2010,7.6,"339,771","Biography,Drama,28 January 2011 (USA)
"
All the Money in the World ,2017,6.8,"69,699","Biography,Crime,Drama,25 December 2017 (USA)
"
Mirror Mirror ,2012,5.6,"82,344","Adventure,Comedy,Drama,30 March 2012 (USA)
"
Gone Baby Gone ,2007,7.6,"243,762","Crime,Drama,Mystery,19 October 2007 (USA)
"
Ali ,2001,6.8,"91,410","Biography,Drama,Sport,25 December 2001 (USA)
"
About a Boy ,2002,7.0,"167,765","Comedy,Drama,Romance,17 May 2002 (USA)
"
The Reader ,2008,7.6,"225,934","Drama,Romance,30 January 2009 (USA)
"
Carol ,2015,7.2,"110,143","Drama,Romance,15 January 2016 (USA)
"
Tarzan ,1999,7.3,"196,236","Animation,Adventure,Family,18 June 1999 (USA)
"
A River Runs Through It ,1992,7.2,"51,889","Drama,30 October 1992 (USA)
"
Leaving Las Vegas ,1995,7.5,"111,505","Drama,Romance,9 February 1996 (USA)
"
"I, Robot ",2004,7.1,"487,575","Action,Drama,Sci-Fi,16 July 2004 (USA)
"
Donnie Brasco ,1997,7.7,"268,432","Biography,Crime,Drama,28 February 1997 (USA)
"
Boyhood ,2014,7.9,"328,601","Drama,15 August 2014 (USA)
"
The Cell ,2000,6.3,"93,218","Horror,Sci-Fi,Thriller,18 August 2000 (USA)
"
Robin Hood: Prince of Thieves ,1991,6.9,"173,626","Action,Adventure,Drama,14 June 1991 (USA)
"
In the Name of the Father ,1993,8.1,"150,929","Biography,Drama,25 February 1994 (USA)
"
Addams Family Values ,1993,6.7,"76,143","Comedy,Fantasy,19 November 1993 (USA)
"
The English Patient ,1996,7.4,"174,099","Drama,Romance,War,6 December 1996 (USA)
"
Erin Brockovich ,2000,7.3,"168,976","Biography,Drama,17 March 2000 (USA)
"
Vicky Cristina Barcelona ,2008,7.1,"237,382","Comedy,Drama,Romance,15 August 2008 (USA)
"
The Mask of Zorro ,1998,6.7,"164,784","Action,Adventure,Comedy,17 July 1998 (USA)
"
Kung Fu Panda ,2008,7.5,"405,840","Animation,Action,Adventure,6 June 2008 (USA)
"
A Serious Man ,2009,7.0,"129,190","Comedy,Drama,6 November 2009 (USA)
"
"The Adventures of Priscilla, Queen of the Desert ",1994,7.4,"45,206","Comedy,Music,10 August 1994 (USA)
"
Cliffhanger ,1993,6.4,"116,583","Action,Adventure,Thriller,28 May 1993 (USA)
"
The Crying Game ,1992,7.2,"49,704","Crime,Drama,Romance,19 February 1993 (USA)
"
Pocahontas ,1995,6.7,"164,270","Animation,Adventure,Drama,23 June 1995 (USA)
"
The Hunchback of Notre Dame ,1996,6.9,"136,978","Animation,Drama,Family,21 June 1996 (USA)
"
Sense and Sensibility ,1995,7.6,"98,421","Drama,Romance,26 January 1996 (USA)
"
Toy Story 2 ,1999,7.9,"510,184","Animation,Adventure,Comedy,24 November 1999 (USA)
"
A History of Violence ,2005,7.4,"218,988","Drama,Thriller,30 September 2005 (USA)
"
Sabrina ,1995,6.3,"35,530","Comedy,Drama,Romance,15 December 1995 (USA)
"
Saving Mr. Banks ,2013,7.5,"147,864","Biography,Comedy,Drama,20 December 2013 (USA)
"
Walk the Line ,2005,7.8,"227,580","Biography,Drama,Music,18 November 2005 (USA)
"
Traffic ,2000,7.6,"192,012","Crime,Drama,Thriller,5 January 2001 (USA)
"
Road to Perdition ,2002,7.7,"240,707","Crime,Drama,Thriller,12 July 2002 (USA)
"
Inherent Vice ,2014,6.7,"91,151","Comedy,Crime,Drama,9 January 2015 (USA)
"
Ray ,2004,7.7,"134,984","Biography,Drama,Music,29 October 2004 (USA)
"
Treasure Planet ,2002,7.2,"98,074","Animation,Adventure,Family,27 November 2002 (USA)
"
The Thin Red Line ,1998,7.6,"167,916","Drama,War,15 January 1999 (USA)
"
The King's Speech ,2010,8.0,"623,744","Biography,Drama,History,25 December 2010 (USA)
"
Allied ,2016,7.1,"136,270","Action,Drama,Romance,23 November 2016 (USA)
"
Face/Off ,1997,7.3,"340,899","Action,Crime,Sci-Fi,27 June 1997 (USA)
"
Philadelphia ,1993,7.7,"217,555","Drama,14 January 1994 (USA)
"
Lilo & Stitch ,2002,7.2,"161,853","Animation,Adventure,Comedy,21 June 2002 (USA)
"
The Emperor's New Groove ,2000,7.3,"173,151","Animation,Adventure,Comedy,15 December 2000 (USA)
"
A Single Man ,2009,7.6,"103,549","Drama,Romance,5 February 2010 (USA)
"
Match Point ,2005,7.6,"201,348","Drama,Romance,Thriller,20 January 2006 (USA)
"
The Tree of Life ,2011,6.8,"164,120","Drama,Fantasy,16 June 2011 (Germany)
"
Sully ,2016,7.4,"226,012","Biography,Drama,9 September 2016 (USA)
"
The Judge ,2014,7.4,"171,528","Crime,Drama,10 October 2014 (USA)
"
