title,year,rating,rating_count,genre
Fantastic Beasts and Where to Find Them ,2016,7.3,"394,350","Adventure,Family,Fantasy,18 November 2016 (USA)
"
The Patriot ,2000,7.2,"248,633","Action,Drama,History,28 June 2000 (USA)
"
Prometheus ,2012,7.0,"557,291","Adventure,Mystery,Sci-Fi,8 June 2012 (USA)
"
Coco ,2017,8.4,"342,929","Animation,Adventure,Family,22 November 2017 (USA)
"
The Truman Show ,1998,8.1,"898,062","Comedy,Drama,Sci-Fi,5 June 1998 (USA)
"
Air Force One ,1997,6.5,"175,284","Action,Drama,Thriller,25 July 1997 (USA)
"
Catch Me If You Can ,2002,8.1,"788,198","Biography,Crime,Drama,25 December 2002 (USA)
"
The Pianist ,2002,8.5,"699,517","Biography,Drama,Music,28 March 2003 (USA)
"
Sicario ,2015,7.6,"355,921","Action,Crime,Drama,2 October 2015 (USA)
"
Being John Malkovich ,1999,7.7,"300,915","Comedy,Drama,Fantasy,3 December 1999 (USA)
"
Black Swan ,2010,8.0,"681,279","Drama,Thriller,17 December 2010 (USA)
"
Minority Report ,2002,7.6,"494,274","Action,Crime,Mystery,21 June 2002 (USA)
"
Drive ,2011,7.8,"553,356","Crime,Drama,16 September 2011 (USA)
"
Harry Potter and the Deathly Hallows: Part 1 ,2010,7.7,"457,867","Adventure,Family,Fantasy,19 November 2010 (USA)
"
Harry Potter and the Half-Blood Prince ,2009,7.6,"452,561","Action,Adventure,Family,15 July 2009 (USA)
"
Hacksaw Ridge ,2016,8.1,"411,212","Biography,Drama,History,4 November 2016 (USA)
"
Good Will Hunting ,1997,8.3,"827,882","Drama,Romance,9 January 1998 (USA)
"
Room ,2015,8.1,"351,297","Drama,Thriller,22 January 2016 (USA)
"
Doctor Strange ,2016,7.5,"571,432","Action,Adventure,Fantasy,4 November 2016 (USA)
"
The Lion King ,1994,8.5,"907,974","Animation,Adventure,Drama,24 June 1994 (USA)
"
There Will Be Blood ,2007,8.2,"496,864","Drama,25 January 2008 (USA)
"
Hercules ,1997,7.3,"197,821","Animation,Adventure,Comedy,27 June 1997 (USA)
"
Arrival ,2016,7.9,"567,867","Drama,Mystery,Sci-Fi,11 November 2016 (USA)
"
Troy ,2004,7.2,"476,197","Drama,History,14 May 2004 (USA)
"
Zootopia ,2016,8.0,"416,047","Animation,Adventure,Comedy,4 March 2016 (USA)
"
The Big Short ,2015,7.8,"343,314","Biography,Comedy,Drama,23 December 2015 (USA)
"
The Favourite ,2018,7.5,"159,839","Biography,Comedy,Drama,21 December 2018 (USA)
"
Her ,2013,8.0,"516,530","Drama,Romance,Sci-Fi,10 January 2014 (USA)
"
"Three Billboards Outside Ebbing, Missouri ",2017,8.2,"402,481","Comedy,Crime,Drama,1 December 2017 (USA)
"
Terminator 2: Judgment Day ,1991,8.5,"966,521","Action,Sci-Fi,3 July 1991 (USA)
"
American Beauty ,1999,8.3,"1,041,224","Drama,1 October 1999 (USA)
"
The Grand Budapest Hotel ,2014,8.1,"680,104","Adventure,Comedy,Crime,28 March 2014 (USA)
"
The Hobbit: An Unexpected Journey ,2012,7.8,"742,463","Adventure,Family,Fantasy,14 December 2012 (USA)
"
Solo: A Star Wars Story ,2018,6.9,"272,635","Action,Adventure,Sci-Fi,25 May 2018 (USA)
"
